,0,1
0,Wii Sports,2430000.0
1,Super Mario Bros.,22900000.0
2,Mario Kart Wii,3720000.0
3,Wii Sports Resort,798000.0
4,Pokemon Red/Pokemon Blue,1980000.0
5,Tetris,10800000.0
6,New Super Mario Bros.,9470000.0
7,Wii Play,8520000.0
8,New Super Mario Bros. Wii,1330000.0
9,Duck Hunt,2260000.0
10,Nintendogs,1250000.0
11,Mario Kart DS,3080000.0
12,Pokemon Gold/Pokemon Silver,1170000.0
13,Wii Fit,6450000.0
14,Wii Fit Plus,2290000.0
15,Kinect Adventures!,1510000.0
16,Grand Theft Auto V,3460000.0
17,Grand Theft Auto: San Andreas,1480000.0
18,Super Mario World,1980000.0
19,Brain Age: Train Your Brain in Minutes a Day,2140000.0
20,Pokemon Diamond/Pokemon Pearl,2890000.0
21,Super Mario Land,4410000.0
22,Super Mario Bros. 3,4820000.0
23,Grand Theft Auto V,3460000.0
24,Grand Theft Auto: Vice City,1750000.0
25,Pokemon Ruby/Pokemon Sapphire,566000.0
26,Pokemon Black/Pokemon White,12400000.0
27,Brain Age 2: More Training in Minutes a Day,2230000.0
28,Gran Turismo 3: A-Spec,2200000.0
29,Call of Duty: Modern Warfare 3,670000.0
30,Pok??mon Yellow: Special Pikachu Edition,794000.0
31,Call of Duty: Black Ops,1430000.0
32,Pokemon X/Pokemon Y,7660000.0
33,Call of Duty: Black Ops 3,1520000.0
34,Call of Duty: Black Ops II,605000.0
35,Call of Duty: Black Ops II,605000.0
36,Call of Duty: Modern Warfare 2,1750000.0
37,Call of Duty: Modern Warfare 3,670000.0
38,Grand Theft Auto III,2100000.0
39,Super Smash Bros. Brawl,452000.0
40,Call of Duty: Black Ops,1430000.0
41,Animal Crossing: Wild World,1450000.0
42,Mario Kart 7,7010000.0
43,Halo 3,5630000.0
44,Grand Theft Auto V,3460000.0
45,Pokemon HeartGold/Pokemon SoulSilver,519000.0
46,Super Mario 64,1710000.0
47,Gran Turismo 4,22500000.0
48,Super Mario Galaxy,5710000.0
49,Pokemon Omega Ruby/Pokemon Alpha Sapphire,544000.0
50,Super Mario Land 2: 6 Golden Coins,944000.0
51,Grand Theft Auto IV,1650000.0
52,Gran Turismo,6460000.0
53,Super Mario 3D Land,2390000.0
54,Gran Turismo 5,9020000.0
55,Call of Duty: Modern Warfare 2,1750000.0
56,Grand Theft Auto IV,1650000.0
57,Super Mario All-Stars,7420000.0
58,Pokemon FireRed/Pokemon LeafGreen,639000.0
59,Super Mario 64,1710000.0
60,Just Dance 3,92600000.0
61,Call of Duty: Ghosts,920000.0
62,Halo: Reach,5420000.0
63,Mario Kart 64,10100000.0
64,New Super Mario Bros. 2,4200000.0
65,Halo 4,3920000.0
66,Final Fantasy VII,1480000.0
67,Call of Duty: Ghosts,920000.0
68,Just Dance 2,6340000.0
69,Gran Turismo 2,5590000.0
70,Call of Duty 4: Modern Warfare,1660000.0
71,Donkey Kong Country,1770000.0
72,Minecraft,89500000.0
73,Animal Crossing: New Leaf,927000.0
74,Mario Party DS,1710000.0
75,The Elder Scrolls V: Skyrim,803000.0
76,Super Mario Kart,4330000.0
77,FIFA 16,7840000.0
78,Wii Party,6100000.0
79,Halo 2,14300000.0
80,Mario Party 8,10200000.0
81,Pokemon Black 2/Pokemon White 2,12000000.0
82,FIFA Soccer 13,8760000.0
83,The Sims 3,3420000.0
84,GoldenEye 007,1810000.0
85,Mario & Sonic at the Olympic Games,1820000.0
86,Final Fantasy X,3540000.0
87,Final Fantasy VIII,836000.0
88,Pok??mon Platinum Version,127000.0
89,Pac-Man,4160000.0
90,Grand Theft Auto: Liberty City Stories,1600000.0
91,Super Mario Galaxy 2,6290000.0
92,Star Wars Battlefront (2015),1650000.0
93,Call of Duty: Advanced Warfare,516000.0
94,The Legend of Zelda: Ocarina of Time,1790000.0
95,Crash Bandicoot 2: Cortex Strikes Back,1420000.0
96,Super Mario Bros. 2,1750000.0
97,Super Smash Bros. for Wii U and 3DS,471000.0
98,Call of Duty: World at War,2570000.0
99,Battlefield 3,2790000.0
